bin_name	total_scgs	supporting_scgs	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
Arcobacter_sp_FW59	20	15	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter lanthieri
Arcobacter_sp_LA11	21	20	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter sp001895145
Arcobacter_sp_LMG_29976	22	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter cryaerophilus
Arcobacter_sp_LPB0137	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter sp001956695
Arcobacter_sp_L	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter sp000284235
Arcobacter_sp_RW43_9	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_sp_SM1702	21	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter sp001956695
Arcobacter_suis_CECT_7833	21	12	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter sp003063245
Arcobacter_thereius_LMG_24486_B	22	14	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter thereius
Arcobacter_trophiarum_LMG_25534_B	19	14	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter cryaerophilus
Arcobacter_venerupis_CECT7836	21	12	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter sp003063245
Halarcobacter_bivalviorum_CECT_7835	19	4	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter skirrowii
Halarcobacter_bivalviorum_F118_4	15	15	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	None	None
Halarcobacter_ebronensis_CECT_8441	16	7	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter anaerophilus
Halarcobacter_ebronensis_CECT_8993	17	7	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter anaerophilus
Halarcobacter_mediterraneus_F156_34	15	3	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter anaerophilus
MAG02	20	9	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	None
Poseidonibacter_sp_JOD_M_6	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter sp001956695
Poseidonibacter_sp_SJOD_M_33	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter sp001956695
Poseidonibacter_sp_SJOD_M_5	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter sp001956695
Pseudoarcobacter_acticola_KCTC_52212	20	11	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter sp003063245
Pseudoarcobacter_caeni_RW17_10	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter sp003063245
Sulfurimonas_autotrophica_DSM_16294	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	Sulfurimonas autotrophica
Sulfurimonas_denitrificans_DSM_1251	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	Sulfurimonas denitrificans
Sulfurimonas_gotlandica_GD1	23	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	Sulfurimonas gotlandica
