"Row.names","group","indval","pvalue","freq","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV8","normoxic",0.805640559093541,0.021,8,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b_marine_group"
"ASV80","normoxic",0.735229759299781,0.021,8,"Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade",NA,NA
"ASV81","hypoxic",1,0.02,3,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Formosa"
"ASV82","normoxic",1,0.022,5,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902"
"ASV83","normoxic",1,0.015,5,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b_marine_group"
"ASV84","normoxic",0.829995342338146,0.024,7,"Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II",NA,NA
"ASV862","hypoxic",1,0.017,3,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",NA
"ASV873","hypoxic",1,0.014,3,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4_marine_group"
"ASV9","hypoxic",1,0.022,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Marinobacterium"
"ASV936","hypoxic",1,0.021,3,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae","MB11C04_marine_group"
"ASV94","normoxic",1,0.02,5,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group",NA
"ASV96","normoxic",0.746868475991649,0.017,7,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ib"
"ASV97","hypoxic",1,0.013,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus_Thiobios"
"ASV98","normoxic",1,0.017,5,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b_marine_group"
