item_name	data_key	data_value	data_type	data_group
WAM_ALR	t_order!Synechococcus_phage_S-B43	2648	stackedbar	t_order
WAM_ALR	t_order!Synechococcus_phage_S-RIM2	1447	stackedbar	t_order
WAM_ALR	t_order!Prochlorococcus_phage_P-TIM68	0	stackedbar	t_order
WAM_ALR	t_order!Cyanophage_S-TIM5	4050	stackedbar	t_order
WAM_ALR	t_order!Propionibacteriales	0	stackedbar	t_order
WAM_ALR	t_order!Flavobacteriales	16564	stackedbar	t_order
WAM_ALR	t_order!Marine_virus_AG-345-L05	0	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_class_Planctomycetes_bacterium_Poly30	0	stackedbar	t_order
WAM_ALR	t_order!Oceanospirillales	3074	stackedbar	t_order
WAM_ALR	t_order!Nitrosomonadales	1921	stackedbar	t_order
WAM_ALR	t_order!Cyanophage_Syn30	4612	stackedbar	t_order
WAM_ALR	t_order!Rhodocyclales	0	stackedbar	t_order
WAM_ALR	t_order!Streptosporangiales	0	stackedbar	t_order
WAM_ALR	t_order!Synechococcus_phage_metaG-MbCM1	0	stackedbar	t_order
WAM_ALR	t_order!Candidatus_Puniceispirillum	0	stackedbar	t_order
WAM_ALR	t_order!Pelagibacter_phage_HTVC023P	1664	stackedbar	t_order
WAM_ALR	t_order!Saccharomycetales	0	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_phylum_Planctomycetes	0	stackedbar	t_order
WAM_ALR	t_order!Cytophagales	1732	stackedbar	t_order
WAM_ALR	t_order!Bacillariales	0	stackedbar	t_order
WAM_ALR	t_order!Caulobacterales	0	stackedbar	t_order
WAM_ALR	t_order!Sphingomonadales	2945	stackedbar	t_order
WAM_ALR	t_order!Synechococcus_phage_S-WAM1	3204	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_class_Alphaproteobacteria	2001	stackedbar	t_order
WAM_ALR	t_order!Synechococcus_phage_S-SKS1	5907	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_phylum_Marine_virus_AFVG_117M64	0	stackedbar	t_order
WAM_ALR	t_order!Synechococcus_phage_S-PM2	2016	stackedbar	t_order
WAM_ALR	t_order!Streptomycetales	1750	stackedbar	t_order
WAM_ALR	t_order!Pseudomonadales	6568	stackedbar	t_order
WAM_ALR	t_order!Chitinophagales	0	stackedbar	t_order
WAM_ALR	t_order!Synechococcus_phage_S-RIP1	2737	stackedbar	t_order
WAM_ALR	t_order!Synechococcus_phage_S-WAM2	20853	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_phylum_Marine_virus_AFVG_25M98	0	stackedbar	t_order
WAM_ALR	t_order!Cyanophage_Syn2	0	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_phylum_Marine_virus_AFVG_117M42	2241	stackedbar	t_order
WAM_ALR	t_order!Cyanophage_P-RSM1	2765	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_class_Myoviridae	66573	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_phylum_Marine_virus_AFVG_25M77	0	stackedbar	t_order
WAM_ALR	t_order!Lactobacillales	1412	stackedbar	t_order
WAM_ALR	t_order!Acidimicrobiales	0	stackedbar	t_order
WAM_ALR	t_order!Thalassiosirales	0	stackedbar	t_order
WAM_ALR	t_order!Unknown_t_phylum_Marine_virus_AFVG_117M32	2287	stackedbar	t_order
