	WCC0	WCC1	WCC2	WCC3	WCR0	WCR1	WCR2	WCR3
ASV328	0	54	40	38	35	0	0	0
ASV329	0	0	0	0	0	0	13	36
ASV331	0	54	53	59	0	0	0	0
ASV333	83	0	0	0	62	0	19	0
ASV334	14	24	57	55	14	0	0	0
ASV336	29	25	31	22	45	5	2	4
ASV337	0	0	0	76	87	0	0	0
ASV339	44	0	33	0	35	0	29	21
ASV340	0	11	12	14	125	0	0	0
ASV343	0	0	0	0	0	0	0	18
ASV344	62	17	28	29	22	0	0	0
ASV345	0	0	0	0	89	0	20	49
ASV346	0	0	0	0	0	8	20	130
ASV350	0	0	0	0	0	0	0	19
ASV351	0	0	0	0	0	10	15	0
ASV353	0	0	0	0	0	0	0	35
ASV355	0	43	42	30	40	0	0	0
ASV358	8	17	0	21	0	12	12	20
ASV363	0	0	0	0	0	0	20	59
ASV369	17	23	18	12	16	22	15	25
ASV371	0	0	0	0	0	0	11	63
ASV373	0	0	0	0	0	11	6	31
ASV374	10	19	28	18	56	0	8	7
ASV376	0	0	0	0	0	16	52	77
ASV378	0	0	0	0	0	0	19	0
ASV381	11	22	18	17	51	23	0	0
ASV382	0	0	0	0	0	0	6	27
ASV385	89	16	0	19	17	0	0	0
ASV386	0	0	43	28	28	42	0	0
ASV391	51	0	34	0	54	0	0	0
ASV392	0	36	0	0	0	20	55	28
ASV393	0	0	0	0	0	0	51	88
ASV398	110	0	6	0	22	0	0	0
ASV400	0	0	0	0	0	0	0	8
ASV402	0	14	18	15	88	0	0	0
ASV403	0	0	0	0	0	9	15	43
ASV406	19	25	22	30	37	0	0	0
ASV407	10	0	0	0	10	21	39	53
ASV408	0	0	0	0	0	0	42	91
ASV410	0	0	0	0	0	0	26	58
ASV411	0	0	0	0	0	11	15	46
ASV413	0	0	0	6	44	18	17	33
ASV417	0	0	0	0	0	0	0	4
ASV420	34	12	6	16	11	0	23	27
ASV422	0	0	0	0	0	0	0	17
ASV424	0	32	52	44	0	0	0	0
ASV427	40	45	41	0	0	0	0	0
ASV428	27	23	24	16	36	0	0	0
ASV429	20	27	32	38	9	0	0	0
ASV431	0	0	0	0	0	0	0	22
ASV433	0	26	51	40	0	0	0	8
ASV436	0	0	0	0	0	0	3	26
ASV437	20	15	14	16	5	21	7	26
ASV438	0	0	0	0	0	38	35	51
ASV440	0	0	0	0	0	0	25	76
ASV450	15	37	32	32	0	0	0	0
ASV454	35	0	24	21	37	0	0	0
ASV455	0	29	44	0	44	0	0	0
ASV458	45	0	37	0	34	0	0	0
ASV462	12	0	7	0	38	0	20	38
ASV463	0	0	0	0	0	0	0	9
ASV465	0	0	0	0	0	26	10	15
ASV468	0	0	0	0	0	18	0	59
ASV470	0	0	0	0	0	33	22	35
ASV475	0	0	0	0	0	0	0	11
ASV477	0	0	0	0	0	0	0	17
ASV480	27	0	39	0	31	0	0	13
ASV481	0	0	0	0	0	0	0	30
ASV486	0	0	0	0	0	0	0	19
ASV487	97	0	0	0	10	0	0	0
ASV488	28	24	31	0	24	0	0	0
ASV491	0	0	0	0	0	0	14	28
ASV492	0	0	0	0	0	33	6	23
ASV493	0	0	0	0	0	0	35	71
ASV496	69	0	0	0	36	0	0	0
ASV498	0	0	0	0	0	19	0	0
ASV502	85	0	0	0	0	0	19	0
ASV503	0	0	0	0	0	0	0	21
ASV514	0	0	0	0	0	12	27	63
ASV520	0	0	0	0	0	0	6	22
ASV521	0	0	9	0	0	30	20	27
ASV523	38	24	11	1	0	0	0	27
ASV528	0	0	0	0	0	0	0	9
ASV529	0	0	0	0	0	0	0	7
ASV535	0	0	0	0	0	13	10	25
ASV543	0	0	10	0	0	0	13	24
ASV548	22	24	23	3	8	6	0	11
ASV549	0	18	0	12	41	0	0	26
ASV550	0	0	0	0	86	11	0	0
ASV553	13	20	25	26	12	0	0	0
ASV554	0	0	0	0	0	0	0	4
ASV559	0	24	35	36	0	0	0	0
ASV560	0	0	0	0	0	45	0	50
ASV561	0	0	0	0	0	0	0	20
ASV566	0	12	28	0	35	0	0	19
ASV574	21	18	27	16	10	0	0	0
ASV575	0	32	31	29	0	0	0	0
ASV576	0	0	0	0	0	0	0	10
ASV578	0	0	0	0	0	0	0	11
ASV585	0	0	0	0	0	0	0	19
ASV586	0	0	0	0	0	0	0	9
ASV587	22	22	19	11	6	0	0	0
ASV592	0	0	0	0	0	10	21	58
ASV593	0	0	0	0	7	29	21	31
ASV594	0	0	0	0	0	0	0	17
ASV599	0	0	23	24	0	15	0	25
ASV600	0	0	0	0	0	0	0	21
ASV605	38	0	0	0	48	0	0	0
ASV612	13	22	13	12	25	0	0	0
ASV613	0	28	26	26	5	0	0	0
ASV615	0	0	0	0	0	50	15	20
ASV617	55	0	11	17	0	0	0	0
ASV618	12	12	17	12	30	0	0	0
ASV619	0	0	0	0	0	26	22	35
ASV620	0	0	0	0	0	0	0	12
ASV623	0	0	0	10	0	0	37	35
ASV625	0	0	0	0	0	6	8	15
ASV626	0	0	0	0	0	17	7	20
ASV627	0	0	0	4	0	33	21	18
ASV628	17	22	0	21	21	0	0	0
ASV629	10	17	15	19	20	0	0	0
ASV633	4	11	0	9	7	15	0	15
ASV641	0	0	0	0	0	0	5	61
ASV647	0	7	0	0	0	21	21	30
ASV648	0	0	0	0	0	38	23	18
ASV649	0	0	0	0	0	0	8	3
ASV650	0	0	0	0	0	0	0	19
ASV653	0	30	0	0	48	0	0	0
ASV654	0	19	33	23	3	0	0	0
ASV658	0	0	0	0	0	0	0	6
ASV665	0	0	0	0	0	0	0	14
ASV667	8	0	6	12	0	11	20	19
ASV668	0	0	6	0	23	31	16	0
ASV669	0	0	0	0	0	76	0	0
ASV672	0	0	0	0	0	0	0	29
ASV678	60	0	0	0	15	0	0	0
ASV685	37	0	0	0	11	0	14	12
ASV686	0	0	0	0	0	17	22	35
ASV689	0	0	0	0	0	0	0	4
ASV690	0	0	0	0	0	17	21	18
ASV707	42	15	10	0	0	0	4	0
ASV708	0	0	0	0	0	20	20	31
ASV721	0	11	16	16	27	0	0	0
ASV726	0	0	0	0	0	0	0	21
ASV733	69	0	0	0	0	0	0	0
ASV735	0	0	0	0	0	16	0	12
ASV738	60	0	0	0	8	0	0	0
ASV739	0	0	0	0	0	0	6	0
ASV744	27	0	8	15	17	0	0	0
ASV745	10	27	14	16	0	0	0	0
ASV746	0	33	34	0	0	0	0	0
ASV747	0	21	26	20	0	0	0	0
ASV748	0	0	21	24	22	0	0	0
ASV749	0	0	0	0	19	21	15	12
ASV753	0	0	0	0	0	31	15	12
ASV759	66	0	0	0	0	0	0	0
ASV760	0	6	0	0	6	16	15	23
ASV766	0	0	0	0	0	0	4	0
ASV775	21	0	0	0	44	0	0	0
ASV776	0	0	0	0	0	0	0	7
ASV778	0	0	0	0	0	0	0	7
ASV783	0	0	0	0	0	0	0	64
ASV784	0	0	0	0	0	0	8	17
ASV795	0	27	22	14	0	0	0	0
ASV798	0	0	0	0	3	12	0	30
ASV805	0	11	12	10	11	7	6	5
ASV806	0	0	0	0	0	10	0	52
ASV807	0	0	0	0	0	0	0	62
ASV808	0	0	0	0	0	9	0	0
ASV812	33	0	28	0	0	0	0	0
ASV813	0	15	21	25	0	0	0	0
ASV822	0	7	0	0	0	0	0	0
ASV824	0	0	0	0	60	0	0	0
ASV827	0	0	0	0	0	0	0	10
ASV839	0	0	0	0	0	0	0	17
ASV850	0	0	0	0	0	0	31	0
ASV853	0	12	9	0	37	0	0	0
ASV854	0	5	9	0	36	0	8	0
ASV855	0	0	0	0	0	0	23	35
ASV862	0	0	0	0	0	14	12	20
ASV872	0	8	0	0	18	8	7	16
ASV873	0	0	0	0	0	15	20	22
ASV887	11	11	0	0	7	9	8	10
ASV888	5	15	19	17	0	0	0	0
ASV889	0	0	0	0	15	13	11	17
ASV902	10	0	13	0	2	0	21	9
ASV903	0	0	0	0	55	0	0	0
ASV905	0	0	0	0	0	0	6	0
ASV916	54	0	0	0	0	0	0	0
ASV917	7	0	10	13	24	0	0	0
ASV919	0	0	33	21	0	0	0	0
ASV920	0	0	0	0	0	0	0	54
ASV924	0	0	0	0	0	0	0	26
ASV934	0	0	0	0	53	0	0	0
ASV935	0	0	0	0	0	23	0	30
ASV936	0	0	0	0	0	9	16	28
ASV937	0	0	0	0	0	4	0	14
ASV941	0	0	0	0	0	0	9	14
ASV942	0	0	0	0	0	0	0	9
ASV950	17	0	19	16	0	0	0	0
ASV951	0	0	0	52	0	0	0	0
ASV952	0	0	0	0	0	0	20	32
ASV967	44	0	7	0	0	0	0	0
ASV968	35	0	0	0	0	0	16	0
ASV969	6	5	0	3	14	0	13	10
ASV971	0	0	0	0	0	0	0	51
ASV984	0	0	0	0	50	0	0	0
ASV988	0	0	0	0	0	0	0	6
ASV1000	0	0	0	0	25	0	15	9
ASV1001	0	0	0	3	0	0	0	0
ASV1002	0	0	0	0	0	0	0	5
ASV1006	0	0	0	0	0	0	0	11
ASV1007	0	0	0	0	0	0	0	4
ASV1009	0	0	0	0	0	0	0	6
ASV1021	38	0	0	0	10	0	0	0
ASV1022	13	9	17	9	0	0	0	0
ASV1023	0	0	0	0	48	0	0	0
ASV1024	0	0	0	0	0	0	21	27
ASV1028	0	0	0	0	0	15	0	14
ASV1029	0	0	0	0	0	7	9	27
ASV1036	7	9	14	17	0	0	0	0
ASV1037	0	0	0	0	0	17	13	17
ASV1042	0	0	0	0	0	11	0	11
ASV1055	25	0	9	12	0	0	0	0
ASV1056	24	7	0	0	15	0	0	0
ASV1057	0	16	15	15	0	0	0	0
ASV1067	0	21	24	0	0	0	0	0
ASV1068	0	0	0	0	45	0	0	0
ASV1069	0	0	0	0	0	0	0	45
ASV1088	8	0	6	0	8	10	4	8
ASV1095	0	0	0	0	0	0	0	13
ASV1108	0	13	21	0	9	0	0	0
ASV1109	0	12	22	9	0	0	0	0
ASV1125	42	0	0	0	0	0	0	0
ASV1126	0	42	0	0	0	0	0	0
ASV1127	0	13	11	18	0	0	0	0
ASV1128	0	9	10	18	5	0	0	0
ASV1131	23	0	0	0	0	0	0	0
ASV1153	0	14	0	27	0	0	0	0
ASV1154	0	8	0	0	33	0	0	0
ASV1155	0	0	0	0	0	0	41	0
ASV1156	0	0	0	0	0	0	0	41
ASV1161	0	0	0	0	0	0	3	9
ASV1164	0	0	0	0	0	0	0	28
ASV1183	26	14	0	0	0	0	0	0
ASV1185	0	0	0	40	0	0	0	0
ASV1186	0	0	0	0	0	0	14	26
ASV1191	0	0	0	0	0	9	10	0
ASV1230	20	18	0	0	0	0	0	0
ASV1232	1	14	0	0	10	4	3	6
ASV1233	0	0	0	0	0	14	0	24
ASV1240	0	0	0	0	0	0	0	5
ASV1253	7	0	0	0	0	7	12	11
ASV1254	0	6	9	7	0	0	0	15
ASV1255	0	0	0	0	0	17	7	13
ASV1256	0	0	0	0	0	16	8	13
ASV1262	0	0	0	0	0	0	0	12
ASV1265	0	0	0	0	0	0	0	15
ASV1268	0	0	0	0	0	0	0	16
ASV1286	0	0	16	20	0	0	0	0
ASV1288	0	0	0	0	0	3	4	8
ASV1295	0	0	0	0	0	9	6	15
ASV1311	35	0	0	0	0	0	0	0
ASV1313	9	0	0	0	0	0	11	15
ASV1314	0	24	11	0	0	0	0	0
ASV1315	0	8	14	13	0	0	0	0
ASV1316	0	0	0	35	0	0	0	0
ASV1317	0	0	0	0	0	0	0	35
ASV1320	0	0	0	0	0	0	0	19
ASV1322	0	0	0	0	19	0	0	0
ASV1324	0	0	0	0	0	0	0	9
ASV1325	0	0	0	0	0	0	0	21
ASV1347	34	0	0	0	0	0	0	0
ASV1350	9	0	0	6	19	0	0	0
ASV1352	0	0	0	0	0	24	0	10
ASV1353	0	0	0	0	0	13	21	0
ASV1354	0	0	0	0	0	6	5	23
ASV1355	0	0	0	0	0	0	16	18
ASV1356	0	0	0	0	0	0	0	34
ASV1361	0	0	0	0	0	0	10	0
ASV1373	33	0	0	0	0	0	0	0
ASV1374	0	6	6	14	7	0	0	0
ASV1375	0	0	0	0	33	0	0	0
ASV1376	0	0	0	0	33	0	0	0
ASV1377	0	0	0	0	33	0	0	0
ASV1378	0	0	0	0	22	11	0	0
ASV1380	0	0	0	0	0	0	0	6
ASV1381	0	0	0	0	0	0	0	26
ASV1384	0	0	0	0	0	0	0	13
ASV1386	0	0	0	0	0	0	0	16
ASV1402	32	0	0	0	0	0	0	0
ASV1403	22	0	10	0	0	0	0	0
ASV1404	11	10	0	11	0	0	0	0
ASV1405	0	0	6	0	7	9	0	10
ASV1406	0	0	0	0	32	0	0	0
ASV1407	0	0	0	0	32	0	0	0
ASV1408	0	0	0	0	0	14	0	18
ASV1415	0	0	0	0	0	0	0	10
ASV1416	0	0	0	0	0	0	0	4
ASV1422	0	0	0	0	0	0	12	14
ASV1441	31	0	0	0	0	0	0	0
ASV1442	0	13	7	11	0	0	0	0
ASV1443	0	0	0	0	14	17	0	0
ASV1444	0	0	0	0	0	0	9	22
ASV1446	0	0	0	0	0	0	0	8
ASV1451	0	0	0	0	0	0	0	21
ASV1465	30	0	0	0	0	0	0	0
ASV1466	30	0	0	0	0	0	0	0
ASV1467	13	0	0	0	17	0	0	0
ASV1468	5	20	5	0	0	0	0	0
ASV1470	0	0	0	30	0	0	0	0
ASV1471	0	0	0	5	0	17	8	0
ASV1472	0	0	0	0	0	0	0	30
ASV1483	0	0	0	0	0	0	0	7
ASV1514	29	0	0	0	0	0	0	0
ASV1515	29	0	0	0	0	0	0	0
ASV1516	0	29	0	0	0	0	0	0
ASV1517	0	0	0	0	29	0	0	0
ASV1527	0	0	0	0	0	0	0	14
ASV1528	0	0	0	0	0	0	0	10
ASV1529	0	0	0	0	0	0	0	8
ASV1562	9	6	9	0	4	0	0	0
ASV1563	0	28	0	0	0	0	0	0
ASV1564	0	0	0	0	28	0	0	0
ASV1565	0	0	0	0	0	0	0	28
ASV1568	0	0	0	0	0	0	0	12
ASV1571	0	0	0	0	0	0	0	1
ASV1578	0	0	0	0	0	0	0	9
ASV1579	0	0	0	0	0	0	0	16
ASV1581	0	0	0	0	0	0	0	14
ASV1604	20	7	0	0	0	0	0	0
ASV1605	6	0	0	0	21	0	0	0
ASV1607	0	9	0	18	0	0	0	0
ASV1608	0	9	15	3	0	0	0	0
ASV1609	0	0	27	0	0	0	0	0
ASV1610	0	0	27	0	0	0	0	0
ASV1611	0	0	0	27	0	0	0	0
ASV1613	0	0	0	0	0	0	9	10
ASV1653	13	5	8	0	0	0	0	0
ASV1655	0	0	0	0	0	0	0	6
ASV1660	0	0	0	0	0	0	0	6
ASV1691	0	25	0	0	0	0	0	0
ASV1694	0	0	0	0	25	0	0	0
ASV1695	0	0	0	0	0	25	0	0
ASV1699	0	0	0	0	0	0	10	0
ASV1714	0	0	0	0	0	0	0	15
ASV1715	0	0	0	0	0	0	0	15
ASV1744	0	24	0	0	0	0	0	0
ASV1745	0	0	8	0	16	0	0	0
ASV1746	0	0	5	10	0	0	9	0
ASV1747	0	0	0	0	9	12	0	3
ASV1748	0	0	0	0	3	0	0	0
ASV1749	6	7	0	0	0	0	0	0
ASV1757	0	5	0	0	0	0	0	0
ASV1763	0	0	0	0	0	0	0	15
ASV1768	0	5	0	0	0	0	0	0
ASV1794	23	0	0	0	0	0	0	0
ASV1795	9	10	0	4	0	0	0	0
ASV1796	0	15	8	0	0	0	0	0
ASV1797	0	0	23	0	0	0	0	0
ASV1798	0	0	0	0	23	0	0	0
ASV1801	0	0	10	0	0	0	0	0
ASV1814	0	0	0	0	0	0	0	6
ASV1848	22	0	0	0	0	0	0	0
ASV1850	22	0	0	0	0	0	0	0
ASV1852	6	3	0	0	7	3	3	0
ASV1853	0	0	0	22	0	0	0	0
ASV1855	0	0	0	0	0	0	0	22
ASV1871	0	0	0	0	0	0	0	4
ASV1873	0	0	0	0	0	0	0	5
ASV1877	0	0	0	0	18	0	0	0
ASV1928	0	0	17	4	0	0	0	0
ASV1929	0	0	8	13	0	0	0	0
ASV1930	0	0	0	0	8	7	6	0
ASV1931	0	0	0	0	0	21	0	0
ASV1932	0	0	0	0	0	21	0	0
ASV1951	0	0	0	0	0	0	0	5
ASV1954	0	0	0	0	0	0	0	7
ASV1996	14	6	0	0	0	0	0	0
ASV1997	10	0	0	0	10	0	0	0
ASV1998	8	0	12	0	0	0	0	0
ASV2000	0	4	6	0	10	0	0	0
ASV2001	0	0	8	12	0	0	0	0
ASV2002	0	0	0	20	0	0	0	0
ASV2003	0	0	0	0	20	0	0	0
ASV2004	0	0	0	0	20	0	0	0
ASV2005	0	0	0	0	0	8	6	6
ASV2006	0	0	0	0	0	0	0	20
ASV2027	0	0	0	0	0	0	0	12
ASV2032	0	0	0	6	0	0	0	0
ASV2078	12	7	0	0	0	0	0	0
ASV2079	12	0	0	0	7	0	0	0
ASV2080	5	0	0	0	14	0	0	0
ASV2081	0	8	11	0	0	0	0	0
ASV2085	0	0	0	0	19	0	0	0
ASV2086	0	0	0	0	19	0	0	0
ASV2088	0	0	0	0	19	0	0	0
ASV2089	0	0	0	0	0	13	0	6
ASV2090	0	0	0	0	0	0	2	0
ASV2173	0	11	7	0	0	0	0	0
ASV2174	0	7	7	0	4	0	0	0
ASV2175	0	5	0	7	0	6	0	0
ASV2176	0	0	18	0	0	0	0	0
ASV2177	0	0	18	0	0	0	0	0
ASV2178	0	0	0	0	18	0	0	0
ASV2179	0	0	0	0	6	4	8	0
ASV2180	0	0	0	0	0	0	8	10
ASV2184	0	8	0	0	0	0	0	0
ASV2209	0	0	0	0	0	0	0	4
ASV2210	0	0	0	0	0	0	0	9
ASV2216	0	0	0	0	0	0	5	4
ASV2279	0	0	17	0	0	0	0	0
ASV2280	0	0	0	0	0	0	17	0
ASV2282	0	0	0	0	0	0	0	17
ASV2311	0	0	0	0	0	0	0	7
ASV2381	0	0	0	0	0	6	5	0
ASV2382	16	0	0	0	0	0	0	0
ASV2384	0	16	0	0	0	0	0	0
ASV2385	0	16	0	0	0	0	0	0
ASV2386	0	16	0	0	0	0	0	0
ASV2387	0	9	7	0	0	0	0	0
ASV2388	0	0	16	0	0	0	0	0
ASV2389	0	0	0	16	0	0	0	0
ASV2390	0	0	0	0	16	0	0	0
ASV2391	0	0	0	0	16	0	0	0
ASV2393	0	0	0	0	0	16	0	0
ASV2394	0	0	0	0	0	0	0	16
ASV2395	0	0	0	0	0	0	0	16
ASV2396	0	0	0	0	0	0	0	16
ASV2397	0	0	0	0	0	0	0	16
ASV2398	0	0	0	0	0	0	0	16
ASV2508	15	0	0	0	0	0	0	0
ASV2509	8	7	0	0	0	0	0	0
ASV2510	0	15	0	0	0	0	0	0
ASV2511	0	0	15	0	0	0	0	0
ASV2512	0	0	7	8	0	0	0	0
ASV2513	0	0	0	0	10	0	0	5
ASV2514	0	0	0	0	0	15	0	0
ASV2515	0	0	0	0	0	0	15	0
ASV2516	0	0	0	0	0	0	15	0
ASV2549	0	0	0	0	0	0	0	4
ASV2550	0	0	0	0	0	0	0	5
ASV2551	0	0	0	0	0	0	6	0
ASV2563	0	0	2	0	0	0	0	0
ASV2636	14	0	0	0	0	0	0	0
ASV2638	14	0	0	0	0	0	0	0
ASV2639	14	0	0	0	0	0	0	0
ASV2640	0	14	0	0	0	0	0	0
ASV2641	0	14	0	0	0	0	0	0
ASV2642	0	9	5	0	0	0	0	0
ASV2643	0	5	9	0	0	0	0	0
ASV2644	0	5	0	0	0	0	0	9
