Group	WCC0	WCC1	WCC2	WCC3	WCR0	WCR1	WCR2	WCR3
ASV72	0	0	0	0	0	196	93	115
ASV73	0	68	91	48	84	36	34	41
ASV75	63	67	105	57	79	0	0	0
ASV76	0	0	33	34	0	41	98	154
ASV77	111	45	79	87	35	0	0	0
ASV78	67	88	79	64	57	0	0	0
ASV79	41	67	73	51	112	0	0	0
ASV80	75	67	74	36	78	0	9	0
ASV81	62	63	66	61	68	0	0	18
ASV82	81	53	92	72	0	0	19	20
ASV84	229	10	0	10	0	0	16	62
ASV85	29	15	13	0	39	91	49	89
ASV86	0	108	115	102	0	0	0	0
ASV87	58	38	74	47	67	0	12	14
ASV88	41	60	54	46	40	17	17	34
ASV89	79	33	51	65	29	0	24	23
ASV90	36	63	71	62	57	0	0	15
ASV91	32	58	72	51	49	0	19	19
ASV93	40	41	38	41	64	25	19	22
ASV94	58	57	0	62	91	0	9	12
ASV95	26	63	95	79	21	0	0	0
ASV96	39	62	71	33	45	0	0	27
ASV97	0	117	76	61	15	0	8	0
ASV98	82	0	0	0	17	41	38	96
ASV99	0	0	0	0	0	23	68	183
ASV100	37	47	75	67	12	14	0	20
ASV101	0	0	0	0	0	173	57	38
ASV102	0	0	0	0	0	29	67	170
ASV103	17	18	22	16	0	54	53	83
ASV104	0	0	0	0	0	13	90	156
ASV105	12	59	73	55	31	13	0	12
ASV106	47	54	50	71	31	0	0	0
ASV107	0	0	0	0	0	0	47	204
ASV108	64	27	42	42	12	28	14	19
ASV109	59	76	60	44	0	0	0	0
ASV110	0	92	71	71	0	0	0	0
ASV111	25	38	47	56	60	0	0	0
ASV112	17	24	38	35	66	5	15	25
ASV113	37	53	64	35	33	0	0	0
ASV114	0	78	78	62	0	0	0	0
ASV115	0	0	0	0	0	19	34	165
ASV116	0	0	0	0	0	0	34	184
ASV117	42	44	42	38	48	0	0	0
ASV118	43	27	44	30	69	0	0	0
ASV119	0	43	65	58	46	0	0	0
ASV120	48	60	27	73	0	0	0	0
ASV121	85	45	0	34	0	0	0	43
ASV123	40	0	39	0	62	31	24	10
ASV124	55	0	0	0	82	0	20	47
ASV125	44	57	55	0	45	0	0	0
ASV126	28	49	52	48	17	0	0	2
ASV127	0	0	0	0	0	68	46	79
ASV128	22	0	0	0	0	44	48	78
ASV129	55	41	43	31	0	0	20	0
ASV130	0	0	0	0	0	10	44	136
ASV131	29	18	36	18	77	6	0	5
ASV132	0	19	0	0	78	38	29	25
ASV133	25	14	50	39	60	0	0	0
ASV134	6	21	17	6	0	38	40	60
ASV135	42	10	28	45	34	6	4	18
ASV136	54	12	35	0	35	0	30	20
ASV137	0	51	62	52	21	0	0	0
ASV138	0	0	0	0	0	0	9	177
ASV139	72	0	0	0	106	0	7	0
ASV140	49	21	18	24	55	0	5	8
ASV141	0	56	70	54	0	0	0	0
ASV142	0	0	0	0	0	0	44	134
ASV143	9	11	10	8	60	0	38	40
ASV144	0	19	12	23	60	37	11	12
ASV145	0	0	0	4	164	0	0	0
ASV146	59	0	74	0	33	0	0	0
ASV147	18	41	35	42	29	0	0	0
ASV148	9	13	18	11	78	18	9	9
ASV149	0	0	0	0	0	0	43	122
ASV150	0	53	53	57	0	0	0	0
ASV151	0	0	0	0	0	64	32	66
ASV152	14	23	55	53	14	0	0	0
ASV153	80	0	0	0	57	0	19	0
ASV154	62	17	28	29	20	0	0	0
ASV155	0	35	0	0	0	19	54	47
ASV156	0	0	0	0	0	8	20	127
ASV157	0	10	13	14	117	0	0	0
ASV158	0	40	41	29	40	0	0	0
ASV159	16	22	18	12	16	22	13	25
ASV160	10	16	28	18	55	0	8	7
ASV162	11	21	17	16	50	21	0	0
ASV163	0	0	0	0	0	16	48	72
ASV164	12	0	0	0	9	20	38	55
ASV165	9	26	15	23	19	13	11	18
ASV166	0	38	51	37	0	0	0	8
ASV167	0	0	0	0	0	0	49	84
ASV168	0	14	17	15	86	0	0	0
ASV169	0	0	20	38	14	36	0	24
ASV170	104	0	6	0	21	0	0	0
ASV171	0	53	40	38	0	0	0	0
ASV172	0	0	42	61	28	0	0	0
ASV173	83	15	0	17	15	0	0	0
ASV174	89	0	0	0	40	0	0	0
ASV175	34	0	0	0	0	19	17	59
ASV177	0	47	39	43	0	0	0	0
ASV178	0	0	0	0	126	0	0	0
ASV179	32	12	5	16	11	0	22	27
ASV180	29	23	30	19	24	0	0	0
ASV181	19	8	11	7	21	0	20	38
ASV182	20	25	30	10	27	5	2	4
ASV183	0	0	0	0	0	37	35	50
ASV184	0	0	0	0	0	9	21	91
ASV185	38	23	11	1	0	0	22	25
ASV186	0	0	0	0	0	15	32	73
ASV188	19	25	31	37	7	0	0	0
ASV189	18	23	18	27	33	0	0	0
ASV191	15	36	35	30	0	0	0	0
ASV192	0	0	0	6	42	18	16	33
ASV193	12	0	8	0	38	0	18	38
ASV194	0	0	0	0	0	46	30	36
ASV195	17	15	14	12	4	17	7	25
ASV196	0	26	44	0	41	0	0	0
ASV197	27	0	40	0	30	0	0	13
ASV198	0	0	0	0	0	0	0	109
ASV200	0	0	0	0	0	6	24	74
ASV203	18	21	25	18	20	0	0	0
